text,label
stop the boats send them all back deport deport deport they have no intention of assimilating make it stop uk,__label__2
you see being liberal is a weakness it promotes violence because the people being violent wont get punished under a liberal ideology if your fair but very tough right wing thinking you should deport foreign criminals straight away once convicted to free up our prisons,__label__2
4 thorough review of immigration policy programs targeted economic immigration as a rule close safe 3rd country loophole deport illegal immigrants deport any immigrant within 1st 5 years who criminally breaks the law fast track immigration for oppressed south africans,__label__2
all of canada feels the same i think we need to deport the liberals and their pets and start again because it’s nearly 2020,__label__2
deport all illegals and non citizen criminals immediately,__label__2
please please please make that happen us should cancel all chinese student visas and deport them since they are so patriotic why leave the mainland,__label__2
deport the sharks back to australia,__label__2
go ahead and deport all the local people who work at big companies who pretend to be from other countries too sick of all the lies and protectionism because your pitiful job is not as important as advancing civilization and maximizing human potential for innovation and progress,__label__2
maybe america can deport some engineers i'm i am so sick of immigrant engineers acting like boo hoo poor me while they get to be rich protected and propped up members of society while the rest of us here there and everywhere go to hell and they dont care,__label__2
also last summer toronto it was reported homeless shelters turned over to migrants so what about canadian homeless we need to start taking care of our own we need to close the border get claims processed and deport a lot of people we have a legal immigration system,__label__2
it plain to make out the muslim rat who physically assaulted these two people notice he poured what looks to be urine in the boy but slugged the woman in the face muslims have no respect for females this should be of grave concern to americans deport these criminals,__label__2
why are we wasting canadians taxpayers money by putting this pos in prison just deport we need to start sending a message,__label__2
- they have to cut the film to make it fit in a time slot - cutting a frivolous cameo makes sense and you know it - if it were me i would have left trump in simply to annoy other snowbacks - cbc is probably innocent here - defund them anyway deport their executives,__label__2
deport him brampton man sentenced to 12 years for 2018 shooting spree of random victims in etobicoke via,__label__2
no citizenship for illegals let them follow the existing naturalization procedures like everyone else this is unfair to legal immigrants deport them all,__label__2
document them all then deport them all,__label__2
maybe stop importing them maybe deport all the rest,__label__2
deport trump and his family of greed deporttrump,__label__2
perhaps upon completion of the appeal he can get a death sentence then deport his ashes to shitholeistan,__label__2
minnesota needs to get their act together and vote this horrible woman out us immigration needs to deport her for immigration fraud see how well she does with bigamy and adultery charges in somalia with somalia menfolk,__label__2
perhaps we should deport you to europe where you belong since we were here first,__label__2
i really wish someone would just fire his gestapo ass and deport him out of here then we could see how he likes it,__label__2
when her prison sentence is over deport her,__label__2
anyone who wants to know where israel’s land is only need look it up it’s in the section called joshua in the creator’s word the bible tlaib is muslim islam/sharia/muslim = not usa citizen deport her,__label__2
what an insane self-loathing society where we can’t deport an illegal alien for any reason reagan hated unions more than he loved america and let ted kennedy shatter the social contract so that democrats could import tens of millions of voters,__label__2
next potus must stop educating people from these 3 traitors russia china saudiarabia deport all diplomats they are not allies by any stretch of imagination pirates thieves spies hackers tomsteyer michaelbloomberg msnbc cnb wpost nytimes,__label__2
next potus must shut all doors to russia china saudiarabia deport all diplomats they are not allies by any stretch of imagination pirates thieves spies hackers tomsteyer michaelbloomberg msnbc cnb wpost nytimes,__label__2
keep it simple- deport them all,__label__2
send in ice use the power of the presidency to subpoena dmv records and deport them,__label__2
we need to deport all mexican gangs nationwide,__label__2
either close down or deport this woman,__label__2
deport her,__label__2
and deport them,__label__2
what parent would leave their child in another country just deport the parents to reunite the families,__label__2
some migrants integrate better than others me as an example deport those who can't cannot integrate,__label__2
ready to disolve this country into multiple warring states if the radical islamist agenda is fulfilled we may see a breakup of this country like we have never experienced it is time to take back our country and deport all those who are here to establish a caliphate,__label__2
deport every single one of them this smacks of soros' money they sailed or flew to latin america on his dime rotten fucking leftist turds,__label__2
deport them to nambia,__label__2
lock em all up in gitmo if you deport them they just come right back over buildthewall,__label__2
she did not deserve the einstein visa she was not a super model she had no extraordinary ability other than getting a rich powerful man to lie and threaten people to grant her visa and immigration status deport the lying whore,__label__2
revoke and deport any that are not compatible with canadian culture,__label__2
kanhaiya the primary object indian people is to deport you to pakistan you are paid by muslims to say against india,__label__2
hopefully the german embassy in korea deport him out of korea and straight into the mental institution in germany instead,__label__2
no she is as cold as trump himself check out her citizenship we probably could deport her,__label__2
deport them to mar a lago ⛳️,__label__2
good job noamnesty nodaca deportthemall,__label__2
this plays well into the liberals plan to bring in 1 000 000 immigrants in the next couple of years and as this man says canadians aren't having babies so muslims will implement sharia law cndpoli,__label__2
sure hope the protests fire up in quebec this new coming year it’ll take his clueless mind off the guns possibly put it on the french people their immigrant population problem that is about to hit them severely quebec should be looking like france fairly quickly,__label__2
we cannot allow illegal immigrant to counted as citizens the dems are using every dirty trick in the book to try to steal power away from conservatives we must fight them tooth and nail,__label__2
this dastardly very bad corrupt person is in charge of destroying canada he's he is a recent immigrant so why does he have this power how can people not see what is going on here and where is the outrage and most importantly where is the conservative party outrage,__label__2
slutlania is an illegal immigrant,__label__2
if i was in such desperate straits i would get across the border and then come back as a illegal immigrant that way the government would pay for a nice hotel a cell phone and gourmet meals trudeau and the liberals care nothing for canadians,__label__2
why can’t there be a simple law that states if an immigrant breaks the law they and their family are immediately deported with no chance of ever returning to canada,__label__2
maybe they are expecting resistance when they dump the millionth immigrant on us next year,__label__2
well she’s an illegal immigrant so that’s pretty much right on target,__label__2
stop illegal immigration not proper immigration shut it down hard and send a message make it hard to be a canadian i don’t care what happens in anyone’s bedroom as long as it doesn’t exploit anyone cross canada pipelines privatize the cbc i’m today’s conservative,__label__2
also stop giving away our tax dollars to foreign entities and put an end to illegal immigration,__label__2
better stop illegal immigration and close trading camps,__label__2
6 suddenly illegal immigration doesn't does not sound so bad anymore no they're they are just undocumented and missing papers this is helped along by dipshit celebrities who want to be trendy and pop culture eventually it's it is no longer socially acceptable to be against illegal immigration,__label__2
your “freaking wall” will no more stop illegal immigration in to the us than banning guns will stop mass shootings as it addresses only one of many ways that immigrants gain access to the country,__label__2
1 heaven is the ultimate gated community where illegal immigration is impossible 2 socialism is government mandated actions taken from citizens by boot gun christianity is a change of heart and soul no government can substitute what i must do on my own for other people,__label__2
this is why there should be legislative action to prevent illegal immigration not enable it this message is from president trump to new legal us citizens,__label__2
lord malloch brown romney soros flooding illegal immigration changing red states blue ban soros ban illegal voting paper ballots qanon 8kun maga tyranny democrats voterfraud voterid soros romney lordmallochbrown,__label__2
only reason why democrats fight so hard for illegal immigration is because they are the only ones that they can brainwash and trade illegal votes with promises on section 8 and ebt,__label__2
if they are not legal us citizens their numbers can not count and can not be used for apportioning house seats this must be stopped because the democrats desperately want to use illegal immigration to take over the country,__label__2
i seek a new settlement i want a moderate metropolis where weed is legal but illegal immigration isn't all liberal areas are sort ofdisappointing why not take the good and minus the bad that way perfection can be achieved i'm i am honestly surprised no red state legalized yet,__label__2
something you may want to consider the current process is so time consuming expensive complex and arbitrary that it is one of the largest contributors to illegal immigration if you want less illegal immigration the system must be faster cheaper and more open,__label__2
the democrats or any of those on the left have decided america has open borders and anyone that manages to put foot on soil is an american citizen with even more benefits than born citizens there is no such thing as illegal immigration,__label__2
i will fight this all the way in going to continue to fight against illegal immigration,__label__2
keep draining and quickly before it’s to lateis it possible the dems are doing this because they know it won’t hurt them in the long run by turning red states to blue w/illegal immigration no voter id laws giving driver licenses illegals and building on ballet voter fraud,__label__2
but we need more immigration that will fix it for sure,__label__2
1 indigenous issues clean drinking water 2 immigration stop it too many too fast 3 veterans/homeless better benefits shelters to live in 4 resources industry is almost shut down in this country 5 electoral reform why the west has to cater to the east,__label__2
buttigieg immigration plan calls for accepting 125 000 refugees in first year as potus ⋆ this might not play well in middle america ⋆ flag and cross,__label__2
1 balanced budgets 2 defund cbc complete overhaul of crtc 3 end carbon tax 4 end the 'stress test' create a realistic housing policy that addresses supply rather than demand 5 return to consistent application of immigration policy to reduce discourage 'line-skipping',__label__2
abolish the clarity act end equalization end mass immigration equal representation tax reform but i don't do not think that any of this would happen with a government controlled by ottawa alberta separation is the only answer albertaseparation wexitalberta wexitnow,__label__2
remove liberal gun bans immigration fiscal responsibility alberta jobs remove liberal media censorship,__label__2
i'm i am not a fan of bill 21 but i am a huge fan of slower and controlled immigration and enforcing the safe third country agreement,__label__2
it feels weird to agree with qc all provinces want reduced immigration and prefer those who will assimilate onto our culture most easily all other countries with overly rapid immigration from poorer muslim nations are having major problems every single one,__label__2
why are we acquiring all these armoured vehicles immigration problems,__label__2
try more immigrationthat’ll replace the 3 that are dying everyday,__label__2
this is an excellent resource that informs how mass immigration will not solve the worlds poverty or create political freedom,__label__2
should never have mass immigration but whatever we have 23% should go to quebec,__label__2
what does your heart do for all the american citizens that have been and will die because you will not build the wall and fix the loopholes in immigration laws you just keep telling us you hate americans and our country,__label__2
